race_id,url,table_index,table_type,row_count,assigned_parser,detector_score
474059,https://ca.milesplit.com/meets/253449-avocado-east-league-cluster-1-2016/results/474059/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/253449-avocado-east-league-cluster-1-2016/results/474059/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/253449-avocado-east-league-cluster-1-2016/results/474059/formatted/"", waiting until ""domcontentloaded""
",0,error,
486407,https://ca.milesplit.com/meets/256413-valley-oak-league-2016/results/486407/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/256413-valley-oak-league-2016/results/486407/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/256413-valley-oak-league-2016/results/486407/formatted/"", waiting until ""domcontentloaded""
",0,error,
463051,https://ca.milesplit.com/meets/248220-cool-breeze-evening-invitational-2016/results/463051/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/248220-cool-breeze-evening-invitational-2016/results/463051/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/248220-cool-breeze-evening-invitational-2016/results/463051/formatted/"", waiting until ""domcontentloaded""
",0,error,
477061,https://ca.milesplit.com/meets/254075-sunkist-league-meet-2016/results/477061/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/254075-sunkist-league-meet-2016/results/477061/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/254075-sunkist-league-meet-2016/results/477061/formatted/"", waiting until ""domcontentloaded""
",0,error,
472575,https://ca.milesplit.com/meets/248311-pacific-tiger-invitational-2016/results/472575/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/248311-pacific-tiger-invitational-2016/results/472575/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/248311-pacific-tiger-invitational-2016/results/472575/formatted/"", waiting until ""domcontentloaded""
",0,error,
479911,https://ca.milesplit.com/meets/254868-eastern-league-cluster-2-2016/results/479911/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/254868-eastern-league-cluster-2-2016/results/479911/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/254868-eastern-league-cluster-2-2016/results/479911/formatted/"", waiting until ""domcontentloaded""
",0,error,
476096,https://ca.milesplit.com/meets/248312-capital-cross-challenge-2016/results/476096/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/248312-capital-cross-challenge-2016/results/476096/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/248312-capital-cross-challenge-2016/results/476096/formatted/"", waiting until ""domcontentloaded""
",0,error,
489811,https://ca.milesplit.com/meets/248289-cif-san-francisco-section-final-2016/results/489811/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/248289-cif-san-francisco-section-final-2016/results/489811/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/248289-cif-san-francisco-section-final-2016/results/489811/formatted/"", waiting until ""domcontentloaded""
",0,error,
484878,https://ca.milesplit.com/meets/228891-mt-sac-xc-invitational-2016/results/484878/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/228891-mt-sac-xc-invitational-2016/results/484878/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/228891-mt-sac-xc-invitational-2016/results/484878/formatted/"", waiting until ""domcontentloaded""
",0,error,
488112,https://ca.milesplit.com/meets/256842-big-viii-league-finals-2016/results/488112/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/256842-big-viii-league-finals-2016/results/488112/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/256842-big-viii-league-finals-2016/results/488112/formatted/"", waiting until ""domcontentloaded""
",0,error,
489306,https://ca.milesplit.com/meets/248285-cif-la-city-prelims-2016/results/489306/formatted/,,"error - Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ca.milesplit.com/meets/248285-cif-la-city-prelims-2016/results/489306/formatted/
Call log:
  - navigating to ""https://ca.milesplit.com/meets/248285-cif-la-city-prelims-2016/results/489306/formatted/"", waiting until ""domcontentloaded""
",0,error,
